tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
9680,4690,0,150.058,68.5683,29.7307,51.7587,0.35881,1.12449,11.9644,0.750867,0.16767,5.49264
9681,4693,0,81.7921,0,29.1971,52.595,0.301148,1.14794,11.7319,0.764556,0.165807,5.35596
9682,4693,0,81.6597,0,29.758,51.9017,0.229512,1.16689,11.9793,0.757834,0.170472,5.22941
9683,4692,0,82.7775,0,30.1638,52.6137,0.329886,1.17301,11.9993,0.792942,0.185691,5.33294
9684,4692,0,82.9021,0,30.1415,52.7606,0.268037,1.08683,12.6505,0.744539,0.168671,5.32306
9685,4689,0,84.5303,0,31.07,53.4603,0.28232,1.10704,12.5953,0.772031,0.169822,5.53163
9686,4692,0,82.2505,0,29.7059,52.5445,0.261721,1.13322,12.3771,0.767829,0.16781,5.31605
9687,4694,0,83.2204,0,30.7357,52.4847,0.221066,1.18255,12.7453,0.80848,0.181523,5.27175
9688,4697,0,83.127,0,31.0256,52.1014,0.335053,1.22651,12.649,0.791687,0.167277,5.55079
9689,4700,0,85.2608,0,31.1375,54.1232,0.217993,1.28974,12.9872,0.819046,0.174007,5.36125
9690,4705,0,162.509,74.3976,31.6159,56.495,0.229061,1.24781,13.1318,0.827535,0.171469,5.36239
9691,4704,0,85.1387,0,31.5629,53.5758,0.23459,1.2425,12.9171,0.820552,0.174163,5.42
9692,4707,0,83.9405,0,29.9498,53.9907,0.254805,1.13102,12.508,0.76001,0.169504,5.27809
9693,4710,0,84.7169,0,30.7078,54.0091,0.517672,1.17403,12.2636,0.80849,0.167938,5.69868
9694,4713,0,83.4076,0,30.1463,53.2613,0.355774,1.13995,12.399,0.774948,0.169236,5.36871
9695,4712,0,83.5847,0,30.3931,53.1916,0.22819,1.16274,12.5001,0.759955,0.172409,5.32639
9696,4715,0,82.0461,0,30.3356,51.7105,0.455204,1.15226,12.2597,0.770338,0.16797,5.57668
9697,4715,0,81.5406,0,29.4856,52.055,0.268118,1.05194,12.298,0.712044,0.16475,5.2613
9698,4715,0,80.0443,0,29.5693,50.475,0.433501,1.0932,12.043,0.742682,0.16907,5.46277
9699,4714,0,82.4015,0,29.8461,52.5554,0.280628,1.14711,12.1307,0.727396,0.165922,5.30704
9700,4720,0,147.038,65.2957,30.614,51.1282,0.577521,1.1755,12.212,0.818354,0.169168,5.61746
9701,4723,0,82.6708,0,29.9443,52.7265,0.265229,1.13077,12.49,0.730972,0.169647,5.38541
9702,4725,0,81.7193,0,29.968,51.7513,0.231092,1.13086,12.3381,0.719261,0.167812,5.28001
9703,4728,0,81.9073,0,29.968,51.9393,0.239366,1.16547,12.5816,0.736259,0.171808,5.32706
9704,4728,0,82.2275,0,30.5237,51.7037,0.398143,1.16102,12.303,0.794009,0.169035,5.62727
9705,4727,0,82.7084,0,31.7535,50.9549,0.512621,1.15375,12.6263,0.835296,0.167785,5.61788
9706,4727,0,81.9756,0,29.5543,52.4213,0.432287,1.11128,12.0414,0.794857,0.166288,5.3633
