tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
5422,2080,0,58.9408,26.6108,10.4428,21.8871,0.156388,0.696499,1.68742,0.502315,0.124775,4.23926
5423,2080,0,60.5873,27.989,10.5139,22.0844,0.157207,0.726402,1.66271,0.528673,0.126792,4.27127
5424,2080,0,58.8594,26.6286,10.4292,21.8015,0.155748,0.69362,1.66781,0.504135,0.125987,4.26308
5425,2080,0,59.2481,26.9119,10.3926,21.9436,0.157147,0.691703,1.63385,0.502615,0.126749,4.25722
5426,2080,0,59.8909,26.8701,10.9635,22.0573,0.160039,0.772791,1.80121,0.545161,0.128882,4.39724
5427,2079,0,59.5755,26.7259,10.6516,22.198,0.155185,0.699098,1.63669,0.511247,0.126623,4.26797
5428,2078,0,62.2916,27.8862,11.2923,23.113,0.16295,0.769156,1.81618,0.541189,0.131792,4.47274
5429,2078,0,59.5467,27.0779,10.658,21.8107,0.157332,0.726615,1.69496,0.535663,0.128146,4.34367
5430,2078,0,59.427,26.9423,10.5618,21.9229,0.157381,0.709606,1.71431,0.514452,0.126338,4.28108
5431,2076,0,60.081,27.1313,11.0383,21.9114,0.338986,0.723027,1.63792,0.547219,0.126281,4.38652
5432,2076,0,61.8974,27.4588,11.3708,23.0678,0.277222,0.853156,1.75841,0.597375,0.127605,4.66504
5433,2076,0,62.8052,29.0341,11.7157,22.0554,0.325268,0.94464,1.73337,0.637777,0.125961,4.81509
5434,2076,0,61.6788,28.5776,11.03,22.0712,0.325902,0.776765,1.70985,0.559296,0.125473,4.45728
5435,2079,0,59.8925,27.1592,10.8383,21.895,0.184652,0.782805,1.70977,0.541885,0.126551,4.43242
5436,2082,0,61.3315,28.1255,10.5257,22.6803,0.155546,0.684425,1.70387,0.520442,0.124414,4.27997
5437,2088,0,60.8018,27.8762,10.6332,22.2924,0.181511,0.71763,1.71866,0.522087,0.125408,4.32315
5438,2088,0,59.5005,27.0478,10.5909,21.8618,0.158508,0.726836,1.69432,0.519666,0.125342,4.30883
5439,2088,0,60.3075,27.148,10.9116,22.2479,0.162135,0.769742,1.73272,0.538741,0.129218,4.44415
5440,2088,0,59.456,27.1198,10.4491,21.887,0.156792,0.678795,1.68074,0.508585,0.127048,4.25874
5441,2088,0,59.9516,27.619,10.5033,21.8293,0.156107,0.695838,1.64601,0.50432,0.124885,4.2897
5442,2088,0,59.559,27.2479,10.4774,21.8337,0.156905,0.685562,1.68515,0.50855,0.127639,4.28475
5443,2088,0,60.0574,27.3768,10.5101,22.1705,0.155923,0.688149,1.648,0.506689,0.127216,4.30773
5444,2088,0,59.6372,27.238,10.5065,21.8928,0.158012,0.696777,1.67829,0.507172,0.126738,4.30398
5445,2091,0,62.4432,28.7432,11.4852,22.2148,0.178526,0.835552,1.88982,0.585502,0.136098,4.60275
5446,2091,0,60.5927,27.782,10.6553,22.1554,0.160569,0.71493,1.70486,0.522237,0.12763,4.33118
5447,2090,0,60.3625,27.5767,10.6976,22.0882,0.157067,0.697566,1.65162,0.521787,0.126721,4.28792
5448,2089,0,60.5077,27.9518,10.6751,21.8808,0.156767,0.686817,1.69557,0.507925,0.126146,4.26143
5449,2089,0,61.676,27.408,10.5763,23.6917,0.1571,0.706342,1.6395,0.516593,0.128153,4.3494
5450,2089,0,59.8552,27.4725,10.4536,21.9291,0.157248,0.69353,1.65947,0.51176,0.126327,4.26149
5451,2089,0,60.0732,27.6679,10.4764,21.9289,0.157936,0.707739,1.65102,0.512173,0.126539,4.28271
5452,2089,0,59.7884,27.4137,10.4573,21.9174,0.156833,0.693631,1.67346,0.504273,0.126063,4.2643
5453,2089,0,60.7531,27.5819,10.4998,22.6713,0.159241,0.693948,1.63895,0.512071,0.128143,4.30699
5454,2089,0,62.881,28.576,11.8703,22.4348,0.637202,0.893823,1.75246,0.606634,0.131091,4.69958
5455,2089,0,60.606,27.8658,10.4896,22.2506,0.159227,0.703061,1.64886,0.511475,0.125963,4.29196
5456,2088,0,60.2586,27.6472,10.6961,21.9153,0.155641,0.704832,1.67612,0.513579,0.124819,4.26847
5457,2088,0,62.4287,29.0868,10.668,22.6739,0.163278,0.703363,1.67964,0.518624,0.129222,4.39307
5458,2088,0,60.1278,27.6969,10.455,21.9759,0.157224,0.694001,1.67375,0.506294,0.127043,4.2616
5459,2091,0,59.757,27.4076,10.4718,21.8776,0.156099,0.697744,1.66264,0.509558,0.127616,4.26297
5460,2094,0,60.2924,27.6898,10.6355,21.9672,0.157531,0.718669,1.71305,0.517868,0.134107,4.32778
5461,2098,0,60.4865,27.7021,10.7361,22.0483,0.157999,0.695637,1.6872,0.515624,0.126535,4.27233
5462,2098,0,63.9017,28.5075,11.4275,23.9667,0.167318,0.839825,1.86563,0.576025,0.131475,4.63936
5463,2101,0,61.9313,28.5475,10.8553,22.5285,0.159801,0.746972,1.74367,0.529803,0.129347,4.39884
5464,2101,0,60.321,27.5951,10.6135,22.1124,0.158008,0.732271,1.70283,0.518935,0.127881,4.30602
5465,2101,0,60.0863,27.5604,10.5194,22.0065,0.157033,0.705546,1.65649,0.515236,0.127511,4.30198
5466,2104,0,60.6933,28.0061,10.5775,22.1097,0.1588,0.705301,1.70592,0.517669,0.127191,4.29714
5467,2104,0,60.2986,27.652,10.5612,22.0854,0.158891,0.715412,1.66923,0.516159,0.125863,4.31623
5468,2103,0,60.5844,27.8218,10.7507,22.0119,0.15515,0.671033,1.69167,0.501654,0.126059,4.27966
5469,2103,0,60.6611,27.652,10.492,22.517,0.15697,0.691284,1.65994,0.509555,0.128522,4.28733
5470,2103,0,60.276,27.7662,10.495,22.0148,0.156882,0.697397,1.67669,0.510713,0.126737,4.28147
5471,2103,0,64.084,29.6975,11.2527,23.1338,0.177863,0.769425,1.88223,0.555579,0.130044,4.52855
5472,2103,0,66.6272,28.3661,10.5352,27.726,0.15696,0.689717,1.68171,0.510117,0.126439,4.29074
5473,2103,0,60.7945,27.8276,10.687,22.2799,0.158407,0.726621,1.71874,0.523906,0.128084,4.35232
5474,2102,0,60.9541,28.0741,10.77,22.11,0.158565,0.704787,1.68948,0.510845,0.125726,4.30018
5475,2101,0,61.7988,27.7664,11.0782,22.9542,0.16111,0.756246,1.74529,0.551622,0.131344,4.39764
5476,2101,0,62.3493,28.449,11.7031,22.1973,0.432906,0.859744,1.83322,0.588419,0.127313,4.76087
5477,2101,0,61.2525,28.05,10.8008,22.4017,0.267687,0.744803,1.68518,0.54183,0.127967,4.37595
